Photo file Name,Date,Time,Direction,Latitude,Longitude,Position Accuracy,Altitude,Datum,Capture Mode Detail,Project Name,Photo Description,Watermark
Test 1 (2020-06-29 10.30.55)-5,29 Jun 2020,10:30:55,231,47.558243°,-122.248166° ,±157ft,9.820847,WGS 84,BLDG Facade: North East Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 10.31.01)-20,29 Jun 2020,10:31:1,230,47.558360°,-122.248003° ,±104ft,7.325207,WGS 84,BLDG Facade: North East Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 10.31.05)-30,29 Jun 2020,10:31:5,232,47.558393°,-122.248066° ,±157ft,7.032232,WGS 84,BLDG Facade: North East Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 10.31.08)-21,29 Jun 2020,10:31:8,229,47.558468°,-122.248012° ,±104ft,6.708668,WGS 84,BLDG Facade: North East Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 10.31.12)-7,29 Jun 2020,10:31:12,227,47.558428°,-122.247905° ,±78ft,6.254410,WGS 84,BLDG Facade: North East Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 10.47.03)-15,29 Jun 2020,10:47:3,149,47.572175°,-122.250110° ,±13124ft,5.471099,WGS 84,BLDG Facade: North West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 10.47.07)-14,29 Jun 2020,10:47:7,150,47.572166°,-122.250108° ,±13124ft,5.471099,WGS 84,BLDG Facade: North West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 10.47.10)-3,29 Jun 2020,10:47:10,152,47.559737°,-122.249126° ,±209ft,9.994995,WGS 84,BLDG Facade: North West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 10.47.15)-12,29 Jun 2020,10:47:15,150,47.559788°,-122.249064° ,±157ft,8.599406,WGS 84,BLDG Facade: North West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 10.47.19)-22,29 Jun 2020,10:47:19,151,47.559850°,-122.249012° ,±209ft,7.325668,WGS 84,BLDG Facade: North West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.01.39)-4,29 Jun 2020,11:01:39,65,47.572159°,-122.250107° ,±13124ft,23.983227,WGS 84,BLDG Facade: South West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.01.42)-26,29 Jun 2020,11:01:42,65,47.558846°,-122.250025° ,±157ft,26.521679,WGS 84,BLDG Facade: South West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.01.46)-16,29 Jun 2020,11:01:46,65,47.558758°,-122.250419° ,±157ft,35.073807,WGS 84,BLDG Facade: South West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.01.49)-10,29 Jun 2020,11:01:49,65,47.558971°,-122.250520° ,±78ft,-39.399078,WGS 84,BLDG Facade: South West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.01.53)-32,29 Jun 2020,11:01:53,65,47.558868°,-122.250505° ,±52ft,34.965504,WGS 84,BLDG Facade: South West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.11.33)-1,29 Jun 2020,11:11:33,65,47.558289°,-122.249652° ,±104ft,34.187214,WGS 84,BLDG Facade: South West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.11.37)-18,29 Jun 2020,11:11:37,67,47.558368°,-122.249618° ,±78ft,33.652405,WGS 84,BLDG Facade: South West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.11.41)-29,29 Jun 2020,11:11:41,67,47.558425°,-122.249518° ,±78ft,32.222076,WGS 84,BLDG Facade: South West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.11.46)-19,29 Jun 2020,11:11:46,67,47.558453°,-122.249556° ,±78ft,32.123158,WGS 84,BLDG Facade: South West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.11.50)-28,29 Jun 2020,11:11:50,67,47.558457°,-122.249592° ,±52ft,32.397324,WGS 84,BLDG Facade: South West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.11.54)-11,29 Jun 2020,11:11:54,67,47.558366°,-122.249572° ,±52ft,32.782051,WGS 84,BLDG Facade: South West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.11.58)-24,29 Jun 2020,11:11:58,68,47.558345°,-122.249645° ,±52ft,33.509655,WGS 84,BLDG Facade: South West Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.26.43)-6,29 Jun 2020,11:26:43,342,47.557505°,-122.251869° ,±52ft,38.616615,WGS 84,BLDG Facade: South Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.26.49)-23,29 Jun 2020,11:26:49,346,47.557539°,-122.251791° ,±52ft,38.882290,WGS 84,BLDG Facade: South Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.26.53)-13,29 Jun 2020,11:26:53,346,47.557536°,-122.251730° ,±52ft,39.152657,WGS 84,BLDG Facade: South Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.26.57)-8,29 Jun 2020,11:26:57,347,47.557550°,-122.251710° ,±52ft,39.307098,WGS 84,BLDG Facade: South Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.27.02)-2,29 Jun 2020,11:27:2,345,47.557541°,-122.251727° ,±52ft,39.266514,WGS 84,BLDG Facade: South Elevation,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-06-29 11.43.19)-27,29 Jun 2020,11:43:19,263,47.556376°,-122.251504° ,±39ft,34.876163,WGS 84,BLDG Facade: East Elevation,Test 1,At hone,Your Watermark - See Settings
